907,Everybody Wants Some!!,
908,The Bounty Hunter,
909,The Gunman,
910,American Honey,
911,Pathfinder: Legend of the Ghost Warrior,
912,National Treasure: Book of Secrets,
913,Nick and Norah's Infinite Playlist,
914,Detour,
915,You Again,
917,Seven Psychopaths,
918,The Last Exorcism,
919,Incendies,
920,Lincoln,
921,Deadpool,
922,Due Date,
923,Let's Be Cops,
924,Rock Dog,
925,Il racconto dei racconti - Tale of Tales,
926,The Secret Life of Bees,
927,The Pink Panther 2,
928,20th Century Women,
929,"Love, Rosie",
930,The Dictator,
931,The Big Short,
932,Collide,
933,Crimson Peak,
934,Maleficent,
936,Grimsby,
937,My Life in Ruins,
938,Steve Jobs,
939,The Game Plan,
940,88 Minutes,
941,The Break-Up,
942,Talladega Nights: The Ballad of Ricky Bobby,
943,The Exception,
944,Don't Breathe,
946,Wrath of the Titans,
947,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",
948,Adoration,
949,Batman v Superman: Dawn of Justice,
950,Yoga Hosers,
951,Fantastic Beasts and Where to Find Them,
952,The Hunger Games: Mockingjay - Part 2,
953,La vie d'Ad�le,
954,The Back-up Plan,
955,Wild,
956,The Imitation Game,
957,Kingsman: The Secret Service,
958,The Hunger Games: Mockingjay - Part 1,
959,Blades of Glory,
960,The Ruins,
961,Hacker,
962,The Hills Have Eyes,
963,Perfume: The Story of a Murderer,
964,Underworld Awakening,
965,Seventh Son,
966,Zero Dark Thirty,
967,Freedom Writers,
969,The Expendables 2,
970,Lawless,
971,The Haunting of Molly Hartley,
973,Love & Friendship,
974,Mr. Right,
976,Gods of Egypt,
977,Tusk,
978,3 Idiots,
979,The Time Traveler's Wife,
980,The Soloist,
981,Marley and Me,
982,Bandslam,
983,Fury,
984,Hannah Montana: The Movie,
985,Faster,
986,Waiting For Forever,
987,Allegiant,
988,Nanny McPhee Returns,
989,A Very Harold and Kumar Christmas,
991,Paul Blart: Mall Cop,
992,The Secret Life of Pets,
994,"I Love You, Man ",
995,Paint It Black,
996,My Big Fat Greek Wedding 2,
998,Finding Dory,
999,Trust,
1001,I Spit on Your Grave,
1002,Man of Steel,
1004,Jagten,
1005,Barbershop: The Next Cut,
1006,Warcraft,
1007,The Love Witch,
1008,Trespass,
1009,Spy Kids: All The Time in the World,
1010,Boyhood,
1011,Under the Skin,
1012,Notorious,
1013,Morgan,
1014,The Twilight Saga: Eclipse	,
1015,Max Payne,
1016,The Men Who Stare at Goats,
1017,The imposible,
1018,Neighbors 2: Sorority Rising,
1019,30 Days of Night,
1020,Fired Up!,
1021,Sicario,
1022,American Sniper,
1023,What's Your Number,
1024,Megamind,
1025,Cinderella,
1026,"1408,0",
1028,Maudie,
1029,American Reunion,
886,The Descendants,adventure
1030,Pirates of the Caribbean: On Stranger Tides,adventure
935,Zombieland,comedy
945,Paul,comedy
972,Footloose,comedy
997,District 9,drama
1027,Remember Me,drama
1003,Percy Jackson & the Olympians: The Lightning Thief,fantasy
968,Winter's Bone,thriller
990,Scream 4,thriller
1031,The Age of Shadows,
1032,American Hustle,
1033,Live by Night,
1034,Year One,
1035,White Girl,
1036,Funny People,
1037,Bangkok Dangerous,
1038,Suite Fran�aise,
1039,Oblivion,
1041,A Dangerous Method,
1042,The Imaginarium of Doctor Parnassus,
1043,Country Strong,
1044,Dear Zindagi,
1046,Only for One Night,
1047,Whiplash,
1048,Coherence,
1049,Riddick,
